date,label,greeting,active
2028-02-24,Presidents' Day week,Enjoy Presidents' Day week,TRUE
2028-02-25,Presidents' Day week,Enjoy Presidents' Day week,TRUE
2028-04-14,Good Friday,Good Friday,TRUE
2028-04-17,Patriots' Day week,Enjoy Patriots' Day week,TRUE
2028-04-18,Patriots' Day week,Enjoy Patriots' Day week,TRUE
2028-04-19,Patriots' Day week,Enjoy Patriots' Day week,TRUE
2028-04-20,Patriots' Day week,Enjoy Patriots' Day week,TRUE
2028-04-21,Patriots' Day week,Enjoy Patriots' Day week,TRUE
2028-05-29,Memorial Day,Remembering Memorial Day,TRUE
2028-06-19,Juneteenth,Happy Juneteenth,TRUE
